Date,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IS,IT,LT,LU,LV,ME,MK,NI,NL,NO,PL,PT,RO,RS,SE,SI,SK
2006/1/1,145451,33772,207683,95504,139956,9396,158279,1178040.659,95190,24240,559526.5306,274243,1416620,862636.3637,118975,46212,99465,73816.16162,46642,666542,26388.17204,14656,17823,10085,30666,24151,255022,457617,328276,115802.0619,124629,109364,472863,30469.47368,75491
2006/1/2,176630,33675,238491,103402,146195,10756,194959,1509540.659,98136,26396,715551.0204,291092,1584000,975930.6818,137338,51516,119061,76234.34343,48197,855403,28179.56989,16795,20203,10559,33035,23703,314663,469580,408152,147116.4948,125780,114592,487585,31809.47368,83333
2006/1/3,179083,35631,274702,114264,155028,11047,207577,1584069.231,99828,26510,772057.1429,286191,1705828,996298.8637,148536,52717,126763,75091.9192,48716,914705,29753.76344,18891,20693,11523,32786,25866,326082,468754,432641,159410.3093,141366,124628,500255,39152.63158,85599
2006/1/4,179265,37162,285565,118232,148748,10275,209400,1600509.89,115910,27915,792676.5306,293990,1749411,969275,150376,53703,128354,87485.85859,48686,926705,33325.80645,17644,22853,12215,33636,25607,328763,490222,434236,163016.4948,148646,135893,525910,42337.89474,87658
2006/1/5,178663,37386,291082,119511,137324,12329,212090,1622650.549,117052,28389,779956.1224,305419,1813676,956019.3182,154055,53629,129160,89694.94949,48824,927560,33404.30108,19994,23392,12319,33510,25176,329469,513643,439291,165607.2165,154034,141491,560086,43293.68421,88179
2006/1/6,154148,37073,288664,122034,162863,10572,209060,1543048.352,116757,28643,650805.102,303093,1813455,1034211.364,135052,47564,127983,92216.16162,48152,754696,33604.30107,18988,23748,11421,32567,29126,325107,535809,440616,164631.9588,152788,138489,551334,42911.57895,82059
2006/1/7,156047,34817,258324,118660,156711,12906,184961,1431709.89,119529,29183,682763.2653,320501,1632947,1048560.227,143803,48770,115633,93639.39394,47965,794508,33249.46236,18474,24051,10691,29083,29810,287809,532426,404183,142524.7423,142294,122737,572118,38714.73684,82403
2006/1/8,150349,34664,245814,120041,152640,14016,183698,1326172.527,118590,29293,648635.7143,321334,1520619,1068446.591,136897,46745,110570,93039.39394,47578,743939,32602.15054,16675,23648,10686,29560,30009,268182,534842,370431,131963.9175,137468,124804,577043,36162.10526,83236
2006/1/9,182307,36475,283351,130508,153671,14168,215277,1673387.912,107935,26679,805797.9592,309894,1730980,1073096.591,159330,53717,126267,86167.67677,48994,990321,29680.64516,19830,21629,10648,31090,30007,328132,519060,439481,161363.9175,157705,119768,549194,42157.89474,91484
2006/1/10,189319,35497,287659,131010,155570,14316,221251,1733013.187,103395,27263,839620.4082,289806,1784733,1078664.773,164515,54918,128596,82557.57576,46086,1032485,29294.62366,21067,21328,11302,31691,29505,330482,497315,450135,166208.2474,162090,121017,520101,43296.84211,92399
