Date,Electricity Demand
2019/1/1,17884.48306
2019/1/2,18948.17568
2019/1/3,19266.96953
2019/1/4,19298.11778
2019/1/5,19385.59909
2019/1/6,19148.8914
2019/1/7,19597.47068
2019/1/8,19676.65061
2019/1/9,19521.58183
2019/1/10,19366.77423
2019/1/11,19153.76178
2019/1/12,18783.24277
2019/1/13,18518.68533
2019/1/14,18876.34578
2019/1/15,19070.94527
2019/1/16,19132.11461
2019/1/17,19245.45824
2019/1/18,19151.21415
2019/1/19,18599.53028
2019/1/20,18165.86923
2019/1/21,18481.20783
2019/1/22,18405.91523
2019/1/23,18393.85779
2019/1/24,18577.02751
2019/1/25,18419.62693
2019/1/26,17993.74368
2019/1/27,17534.97304
2019/1/28,17949.11582
2019/1/29,17756.13762
2019/1/30,17761.47882
2019/1/31,17589.14754
2019/2/1,17202.50532
2019/2/2,16626.45465
2019/2/3,16173.09335
2019/2/4,15957.43148
2019/2/5,14945.90767
2019/2/6,15006.95926
2019/2/7,15365.42523
2019/2/8,15696.75085
2019/2/9,15867.79794
2019/2/10,16507.13728
2019/2/11,17168.62123
2019/2/12,17549.3429
2019/2/13,17795.42861
2019/2/14,17960.01188
2019/2/15,18118.3111
2019/2/16,17753.94795
2019/2/17,17228.98991
2019/2/18,17361.60293
2019/2/19,17424.11566
2019/2/20,17827.39569
2019/2/21,17629.13738
2019/2/22,17468.08048
2019/2/23,16938.63166
2019/2/24,16711.65275
2019/2/25,17074.98772
2019/2/26,17350.1986
2019/2/27,17579.64191
2019/2/28,17480.39956
2019/3/1,17194.53436
2019/3/2,16717.97768
2019/3/3,16496.6255
2019/3/4,17258.75689
2019/3/5,17130.89126
2019/3/6,17224.26722
2019/3/7,17170.86613
2019/3/8,16749.76117
2019/3/9,16795.50236
2019/3/10,16634.22937
2019/3/11,16975.80306
2019/3/12,17353.02391
2019/3/13,17665.61839
2019/3/14,17447.75555
2019/3/15,17056.71748
2019/3/16,16952.42877
2019/3/17,16464.92621
2019/3/18,16497.61834
2019/3/19,16479.03581
2019/3/20,16773.78526
2019/3/21,17122.35267
2019/3/22,16977.10213
2019/3/23,16610.45938
2019/3/24,16180.62234
2019/3/25,16667.01566
2019/3/26,16915.81085
2019/3/27,16934.92719
2019/3/28,16802.3264
2019/3/29,16790.17197
2019/3/30,16666.72482
2019/3/31,16461.02946
2019/4/1,16927.54264
2019/4/2,17157.23092
2019/4/3,16876.93048
2019/4/4,16794.81293
2019/4/5,15944.89883
2019/4/6,16056.11233
2019/4/7,16372.25851
2019/4/8,16832.37491
2019/4/9,16789.7387
2019/4/10,16532.6939
2019/4/11,16304.88486
2019/4/12,15926.97933
2019/4/13,15866.93195
2019/4/14,15624.32965
2019/4/15,15662.93566
2019/4/16,15686.78528
2019/4/17,15447.15605
2019/4/18,15743.59565
2019/4/19,15835.04074
2019/4/20,15719.73573
2019/4/21,15305.49689
2019/4/22,15665.45166
2019/4/23,15877.39028
2019/4/24,16082.33941
2019/4/25,16107.85704
2019/4/26,16359.47802
2019/4/27,15826.9652
2019/4/28,15664.68957
2019/4/29,15726.01978
2019/4/30,15860.63728
2019/5/1,14757.23056
2019/5/2,14855.88621
2019/5/3,15267.71327
2019/5/4,15405.65915
2019/5/5,15882.89002
2019/5/6,16376.74472
2019/5/7,16472.2363
2019/5/8,16226.69698
2019/5/9,16430.52109
2019/5/10,16406.14833
2019/5/11,16274.01784
2019/5/12,16148.32261
2019/5/13,16248.98296
2019/5/14,16623.50552
2019/5/15,16527.30784
2019/5/16,16566.36744
2019/5/17,16333.63634
2019/5/18,15852.05851
2019/5/19,15202.27343
2019/5/20,15095.71291
2019/5/21,15114.13059
2019/5/22,15235.61115
2019/5/23,15577.31243
2019/5/24,15848.43798
2019/5/25,15837.59575
2019/5/26,14829.86202
2019/5/27,14772.31998
2019/5/28,14741.27006
2019/5/29,14826.69108
2019/5/30,14962.35224
2019/5/31,15178.55613
2019/6/1,14893.84156
2019/6/2,15016.70014
2019/6/3,15322.3662
2019/6/4,15441.10746
2019/6/5,15624.26082
2019/6/6,15782.04747
2019/6/7,14129.48149
2019/6/8,14016.15523
2019/6/9,14592.55048
2019/6/10,15462.86766
2019/6/11,15429.24165
2019/6/12,15661.94528
2019/6/13,15436.62269
2019/6/14,15271.33283
2019/6/15,14922.41833
2019/6/16,14803.42436
2019/6/17,15351.36759
2019/6/18,15847.90172
2019/6/19,16022.60797
2019/6/20,15805.35919
2019/6/21,15947.12558
2019/6/22,15756.07552
2019/6/23,15749.52977
2019/6/24,16509.03503
2019/6/25,16797.02161
2019/6/26,16704.44335
2019/6/27,16698.14144
2019/6/28,16158.55161
2019/6/29,15412.81234
2019/6/30,14878.77968
2019/7/1,15629.07818
2019/7/2,16089.95109
2019/7/3,16011.9755
2019/7/4,16228.62976
2019/7/5,16369.19368
2019/7/6,16120.01614
2019/7/7,16241.34618
2019/7/8,16994.77172
2019/7/9,17474.15003
2019/7/10,17383.69083
2019/7/11,17212.00268
2019/7/12,17120.5526
2019/7/13,16549.34364
2019/7/14,16231.80709
2019/7/15,17123.80662
2019/7/16,17037.24305
2019/7/17,16702.6286
2019/7/18,17166.35737
2019/7/19,17684.10637
2019/7/20,17752.9784
2019/7/21,16639.41058
2019/7/22,17227.26158
2019/7/23,16914.7267
2019/7/24,16936.47606
2019/7/25,16605.7782
2019/7/26,16950.08392
2019/7/27,16939.40683
2019/7/28,16883.49221
2019/7/29,17410.0998
2019/7/30,17173.81885
2019/7/31,17314.46946
2019/8/1,17289.37678
2019/8/2,17773.34851
2019/8/3,16959.62883
2019/8/4,16970.34745
2019/8/5,17689.14581
2019/8/6,17614.79815
2019/8/7,17711.2679
2019/8/8,16968.79225
2019/8/9,16654.31144
2019/8/10,16531.12304
2019/8/11,15631.26309
2019/8/12,15640.51084
2019/8/13,16008.4753
2019/8/14,15848.35377
2019/8/15,15819.72264
2019/8/16,15487.30683
2019/8/17,14919.65316
2019/8/18,14708.86315
2019/8/19,15244.65625
2019/8/20,15310.73123
2019/8/21,15252.94563
2019/8/22,15427.38721
2019/8/23,15511.61106
2019/8/24,15646.99361
2019/8/25,15393.28431
2019/8/26,15640.65231
2019/8/27,15908.53445
2019/8/28,15940.37789
2019/8/29,15682.00683
2019/8/30,15557.23796
2019/8/31,15421.47939
2019/9/1,14992.28775
2019/9/2,15832.94633
2019/9/3,16125.26897
2019/9/4,16127.29422
2019/9/5,16304.95857
2019/9/6,16363.24943
2019/9/7,15958.28327
2019/9/8,15097.65811
2019/9/9,15390.05709
2019/9/10,15258.15449
2019/9/11,15439.57006
2019/9/12,15408.77812
2019/9/13,14120.15347
2019/9/14,14394.66334
2019/9/15,14831.16558
2019/9/16,15100.59929
2019/9/17,15202.65892
2019/9/18,15386.05777
2019/9/19,15736.7276
2019/9/20,15848.27768
2019/9/21,15708.25623
2019/9/22,15549.47369
2019/9/23,15938.71071
2019/9/24,16103.3096
2019/9/25,15872.64313
2019/9/26,15989.11161
2019/9/27,15927.7812
2019/9/28,15675.75802
2019/9/29,15537.97718
2019/9/30,15024.6059
2019/10/1,14042.25784
2019/10/2,13940.96695
2019/10/3,14023.09974
2019/10/4,14435.13274
2019/10/5,14793.28085
2019/10/6,14867.37498
2019/10/7,15198.50188
2019/10/8,15681.00892
2019/10/9,15516.24572
2019/10/10,15904.17878
2019/10/11,16089.69086
2019/10/12,16105.57192
2019/10/13,16224.08408
2019/10/14,16569.47697
2019/10/15,16791.08967
2019/10/16,16913.1723
2019/10/17,16759.06484
2019/10/18,17115.87948
2019/10/19,17075.01098
2019/10/20,16802.28681
2019/10/21,16869.75687
2019/10/22,17003.12754
2019/10/23,16905.20949
2019/10/24,16983.20534
2019/10/25,17654.60264
2019/10/26,17345.40249
2019/10/27,17000.51005
2019/10/28,17386.51053
2019/10/29,17446.39472
2019/10/30,17151.69398
2019/10/31,16701.5981
2019/11/1,16901.31499
2019/11/2,16857.1407
2019/11/3,17229.15347
2019/11/4,17464.73104
2019/11/5,17736.5072
2019/11/6,18107.11586
2019/11/7,18088.90602
2019/11/8,17908.54116
2019/11/9,17878.23165
2019/11/10,17456.56074
2019/11/11,17618.70906
2019/11/12,18132.43546
2019/11/13,18580.40374
2019/11/14,18712.22118
2019/11/15,18810.03747
2019/11/16,18892.21645
2019/11/17,18781.80996
2019/11/18,18937.24334
2019/11/19,19423.47987
2019/11/20,19723.91498
2019/11/21,19642.5677
2019/11/22,19026.0159
2019/11/23,18924.25223
2019/11/24,18797.60445
2019/11/25,19278.35844
2019/11/26,19448.65897
2019/11/27,19762.70774
2019/11/28,19902.15642
2019/11/29,19992.99025
